url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
32,0,2,1,1,-1,1,0,0,0,0
45,0,3,1,1,-1,0,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
70,0,3,1,0,-1,0,0,-1,-1,1
41,0,3,0,1,-1,1,0,0,0,1
62,0,2,0,0,-1,1,0,0,0,1
96,0,1,0,0,-1,1,0,0,0,1
37,0,2,0,1,-1,1,0,0,0,1
50,0,1,0,0,-1,1,0,1,0,1
48,0,2,1,1,-1,1,0,-1,-1,1
32,0,1,1,0,-1,1,0,0,0,0
54,0,2,1,1,-1,1,0,0,0,0
48,0,3,0,1,-1,1,0,0,0,0
52,0,3,0,1,-1,1,0,0,0,1
60,0,2,0,1,-1,0,0,-1,-1,1
58,0,2,1,0,-1,1,1,0,0,1
26,0,2,1,1,-1,1,0,0,0,1
23,0,2,0,1,-1,1,0,0,0,0
39,0,1,0,0,-1,1,0,1,0,0
44,0,3,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
27,0,2,0,0,-1,1,0,0,0,0
223,0,1,1,0,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
42,0,1,1,0,-1,1,0,0,0,0
25,0,2,1,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
38,0,2,0,1,-1,1,0,-1,-1,1
39,0,1,1,0,-1,1,0,0,1,0
45,0,2,1,1,-1,1,0,0,0,0
34,0,1,1,0,-1,1,0,1,0,0
53,0,3,1,1,-1,1,0,0,0,1
49,0,3,0,1,-1,1,0,1,0,1
101,0,2,1,0,-1,0,0,-1,-1,1
80,0,2,0,1,-1,1,0,1,0,1
124,0,3,0,0,-1,0,0,-1,-1,1
39,0,2,1,1,-1,1,0,-1,-1,1
15,0,1,1,0,-1,1,0,1,0,1
26,0,2,1,1,-1,1,0,0,0,0
92,0,2,1,1,-1,0,0,0,0,0
32,0,2,0,1,-1,1,0,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
45,0,1,1,0,-1,1,0,1,0,0
75,0,2,0,1,-1,1,0,0,0,1
75,0,6,0,4,-1,1,0,-1,-1,1
23,0,2,0,1,-1,1,0,0,0,0
32,0,1,0,0,-1,1,0,0,0,0
39,0,3,1,1,-1,1,0,0,0,0
64,0,1,1,0,-1,1,0,1,0,0
30,0,2,0,1,-1,1,0,-1,-1,1
36,0,1,0,0,-1,1,0,-1,-1,1
89,0,3,0,1,-1,1,0,0,0,1
41,0,2,0,1,-1,1,0,0,0,1
56,0,2,1,1,-1,1,0,1,0,0
64,0,2,1,1,-1,1,0,0,0,0
61,0,3,0,1,-1,1,0,-1,-1,0
41,0,2,0,1,-1,1,0,-1,-1,1
29,0,1,1,0,-1,1,0,0,0,0
52,0,2,1,1,-1,1,0,-1,-1,1
65,0,2,1,1,-1,1,0,0,0,0
37,0,2,1,1,-1,1,0,0,0,1
49,0,2,1,1,-1,1,0,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
38,0,2,0,0,-1,1,0,0,0,0
31,0,2,1,1,-1,1,0,0,0,0
61,0,2,1,1,-1,1,0,-1,-1,0
53,0,1,1,0,-1,1,0,1,0,0
63,0,2,0,1,-1,1,0,0,0,1
81,0,2,0,1,-1,1,0,0,0,1
55,0,2,1,0,-1,1,0,0,0,0
87,0,2,1,1,-1,1,0,-1,-1,1
52,0,2,1,1,-1,1,0,-1,-1,0
36,0,1,0,0,-1,1,0,0,0,1
33,0,2,0,0,-1,1,0,1,0,0
64,0,2,1,1,-1,1,0,0,0,0
42,0,3,1,1,-1,1,0,1,0,1
71,0,2,1,1,-1,1,0,-1,-1,0
29,0,2,0,1,-1,0,0,-1,-1,1
39,0,1,0,0,-1,1,0,-1,-1,1
101,0,2,1,1,-1,0,0,0,0,0
60,0,2,1,1,-1,1,0,0,0,1
20,0,1,1,0,-1,1,0,1,0,0
38,0,2,0,1,-1,1,0,-1,-1,1
64,0,5,0,3,-1,1,0,-1,-1,1
63,0,2,1,1,-1,1,0,-1,-1,0
73,0,3,0,1,-1,0,0,-1,-1,1
34,0,2,1,0,-1,1,0,0,0,0
53,0,3,0,1,-1,1,0,0,1,0
51,0,3,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
22,0,3,0,1,-1,1,0,-1,-1,1
41,0,2,0,1,-1,1,0,-1,-1,1
34,0,2,1,1,-1,1,0,0,0,0
31,0,3,0,1,-1,1,0,0,0,0
33,0,2,1,1,-1,1,0,-1,-1,1
34,0,2,1,1,-1,1,0,-1,-1,1
41,0,3,0,0,-1,0,0,-1,-1,1
97,0,2,1,1,-1,1,0,0,0,0
41,0,2,1,1,-1,1,0,0,0,1
65,0,2,1,1,-1,1,0,0,0,0
31,0,2,0,0,-1,1,0,-1,-1,0
20,0,1,1,0,-1,1,1,1,0,0
28,0,2,0,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
29,0,3,0,1,-1,1,0,0,0,1
214,0,1,1,0,-1,1,0,0,0,0
86,0,3,0,1,-1,0,0,-1,-1,1
44,0,2,1,1,-1,1,0,-1,-1,0
95,0,3,0,1,-1,1,0,1,1,1
52,0,2,1,1,-1,1,0,0,0,1
69,0,2,0,0,-1,0,0,-1,-1,1
38,0,2,1,1,-1,1,0,1,0,1
44,0,3,1,1,-1,1,0,0,0,0
22,0,1,0,0,-1,1,0,-1,-1,1
32,0,1,0,0,-1,1,0,0,0,0
39,0,3,1,1,-1,1,0,0,0,1
52,0,3,0,1,-1,1,0,0,1,0
31,0,2,1,1,-1,1,1,0,0,1
58,0,2,1,1,-1,1,0,0,0,0
38,0,3,1,1,-1,1,1,-1,-1,1
36,0,1,0,0,-1,1,0,0,0,0
113,0,2,1,1,-1,1,0,-1,-1,1
45,0,1,0,0,-1,0,0,-1,-1,1
39,0,2,0,1,-1,1,1,0,0,1
56,0,3,1,1,-1,1,0,0,0,0
73,0,2,0,1,-1,0,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
60,0,2,1,1,-1,1,0,-1,-1,0
28,0,2,1,1,-1,1,0,-1,-1,0
57,0,2,0,1,-1,1,0,-1,-1,1
52,0,2,1,1,-1,1,0,0,0,0
40,0,2,1,1,-1,1,0,0,0,1
46,0,3,0,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
42,0,2,1,1,-1,1,0,0,0,1
36,0,2,0,1,-1,1,0,-1,-1,1
133,0,3,1,1,-1,1,1,0,0,1
127,0,4,1,3,-1,1,0,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
55,0,3,0,1,-1,1,0,0,0,0
93,0,2,1,1,-1,1,0,0,1,0
29,0,2,1,1,-1,1,0,1,0,1
32,0,1,0,0,-1,1,0,0,0,0
69,0,3,0,1,-1,1,0,0,0,1
45,0,2,0,1,-1,1,0,0,0,1
58,0,2,1,0,-1,1,0,1,0,0
55,0,3,1,1,-1,1,1,0,0,1
70,0,2,1,1,-1,1,0,-1,-1,1
17,0,1,0,0,-1,1,0,0,0,0
29,0,2,1,1,-1,1,0,0,0,1
25,0,2,0,1,-1,1,0,1,0,1
43,1,3,0,0,-1,0,0,0,0,1
103,0,1,0,0,-1,0,0,-1,-1,1
206,0,6,1,1,-1,1,0,-1,-1,1
49,0,2,0,1,-1,1,0,0,1,0
44,0,3,1,1,-1,1,0,0,0,0
38,0,2,1,1,-1,1,0,0,0,0
28,0,2,1,1,-1,1,0,0,0,1
64,0,2,1,1,-1,1,0,0,0,0
64,0,2,1,1,-1,1,0,0,0,0
29,0,2,0,1,-1,1,0,-1,-1,1
45,0,4,0,3,-1,1,0,-1,-1,1
51,0,2,1,1,-1,1,0,1,0,0
37,0,2,1,1,-1,1,0,0,0,0
68,0,4,0,3,-1,1,0,-1,-1,1
